Date,Time,HeartRate
2022-12-20,00:17:45,108
2022-12-20,00:17:46,107
2022-12-20,00:17:47,106
2022-12-20,00:17:48,106
2022-12-20,00:17:49,106
2022-12-20,00:17:49,102
2022-12-20,00:17:51,101
2022-12-20,00:17:52,99
2022-12-20,00:17:52,99
2022-12-20,00:17:53,98
2022-12-20,00:17:54,98
2022-12-20,00:17:55,98
2022-12-20,00:17:56,97
2022-12-20,00:17:57,97
2022-12-20,00:17:58,97
2022-12-20,00:18:00,98
2022-12-20,00:18:00,98
2022-12-20,00:18:01,99
2022-12-20,00:18:03,99
2022-12-20,00:18:03,100
2022-12-20,00:18:04,100
2022-12-20,00:18:06,100
2022-12-20,00:18:07,100
2022-12-20,00:18:07,100
2022-12-20,00:18:08,100
2022-12-20,00:18:09,100
2022-12-20,00:18:11,100
2022-12-20,00:18:11,100
2022-12-20,00:18:12,100
2022-12-20,00:18:13,100
2022-12-20,00:18:15,100
2022-12-20,00:18:15,100
2022-12-20,00:18:16,99
2022-12-20,00:18:18,100
2022-12-20,00:18:19,100
2022-12-20,00:18:19,100
2022-12-20,00:18:21,100
2022-12-20,00:18:21,100
2022-12-20,00:18:22,99
2022-12-20,00:18:24,100
2022-12-20,00:18:25,99
2022-12-20,00:18:25,99
2022-12-20,00:18:27,97
2022-12-20,00:18:27,97
2022-12-20,00:18:28,96
2022-12-20,00:18:30,96
2022-12-20,00:18:30,96
2022-12-20,00:18:32,96
2022-12-20,00:18:32,97
2022-12-20,00:18:33,97
2022-12-20,00:18:35,98
2022-12-20,00:18:35,99
2022-12-20,00:18:37,100
2022-12-20,00:18:38,100
2022-12-20,00:18:38,101
2022-12-20,00:18:39,102
2022-12-20,00:18:40,102
2022-12-20,00:18:43,101
2022-12-20,00:18:43,100
2022-12-20,00:18:43,99
2022-12-20,00:18:45,98
2022-12-20,00:18:45,97
2022-12-20,00:18:46,97
2022-12-20,00:18:47,97
2022-12-20,00:18:48,98
2022-12-20,00:18:49,98
2022-12-20,00:18:50,99
2022-12-20,00:18:52,100
2022-12-20,00:18:52,101
2022-12-20,00:18:53,101
2022-12-20,00:18:54,101
2022-12-20,00:18:55,100
2022-12-20,00:18:56,100
2022-12-20,00:18:57,100
2022-12-20,00:18:58,100
2022-12-20,00:19:00,99
2022-12-20,00:19:00,99
2022-12-20,00:19:01,98
2022-12-20,00:19:02,98
2022-12-20,00:19:03,98
2022-12-20,00:19:05,98
2022-12-20,00:19:05,99
2022-12-20,00:19:06,99
2022-12-20,00:19:07,99
2022-12-20,00:19:09,100
2022-12-20,00:19:09,100
2022-12-20,00:19:10,100
2022-12-20,00:19:11,101
2022-12-20,00:19:12,100
2022-12-20,00:19:15,100
2022-12-20,00:19:15,100
2022-12-20,00:19:16,100
2022-12-20,00:19:16,100
2022-12-20,00:19:18,100
2022-12-20,00:19:20,100
2022-12-20,00:19:20,101
2022-12-20,00:19:21,101
2022-12-20,00:19:21,102
2022-12-20,00:19:22,103
2022-12-20,00:19:23,104
2022-12-20,00:19:24,104
2022-12-20,00:19:27,105
2022-12-20,00:19:27,104
2022-12-20,00:19:28,103
2022-12-20,00:19:28,101
2022-12-20,00:19:29,100
2022-12-20,00:19:30,100
2022-12-20,00:19:32,100
2022-12-20,00:19:32,100
2022-12-20,00:19:34,100
2022-12-20,00:19:34,101
2022-12-20,00:19:36,102
2022-12-20,00:19:36,103
2022-12-20,00:19:37,103
2022-12-20,00:19:38,103
2022-12-20,00:19:39,103
2022-12-20,00:19:40,101
2022-12-20,00:19:41,100
2022-12-20,00:19:42,98
2022-12-20,00:19:43,97
2022-12-20,00:19:44,97
2022-12-20,00:19:47,97
2022-12-20,00:19:47,97
2022-12-20,00:19:47,97
2022-12-20,00:19:48,98
2022-12-20,00:19:49,99
2022-12-20,00:19:50,100
2022-12-20,00:19:51,101
2022-12-20,00:19:52,101
2022-12-20,00:19:54,100
2022-12-20,00:19:54,100
2022-12-20,00:19:55,100
